ID,Text,Pronoun,Pronoun-offset,A,A-offset,A-Coref,B,B-offset,B-Coref,
0,"After the war, Herbert attended the University of Washington, where he met Beverly at a creative writing class in 1946 .",he,8,Herbert,16,TRUE,Beverly,76,FALSE
1,Herbert was appalled to learn of senator McCarthy's blacklisting of suspected communists from working in certain careers and believed that he was endangering essential freedoms of citizens of the United States .,he,140,Herbert,1,TRUE,McCarthy,42,FALSE
2,"Herbert has attracted a sometimes fanatical fan base, many of whom have tried to read everything he wrote, fiction or non-fiction, and see Herbert as something of an authority on the subject matters of his books .",he,98,Herbert,1,TRUE,Herbert,1,FALSE
3,"In 1887, after the death of his brother and a brief stay in London, young Norris went to Acad mie Julian in Paris where he studied painting for two years and was exposed to the naturalist novels of mile Zola .",he,17,Norris,75,FALSE,Julian,99,TRUE
4,"The publication of Buechner's third novel, The Return of Ansel coincided with Buechner's ordination and move to Exeter, where he began to publish non-fiction .",he,2,Buechner,20,TRUE,Buechner,20,FALSE
5,"Concurrent with Buechner's delivery of the Noble Lectures, he developed the most significant character of his later career, Leo .",he,41,Buechner,17,TRUE,Leo,125,FALSE
6,"In 1982, author Reynolds greeted Buechner's The Sacred Journey as ""a rich new vein for Buechner a kind of detective autobiography"" and "" he result is a short but fascinating and, in its own terms, beautifully successful experiment .",he,46,Reynolds,17,FALSE,Buechner,34,TRUE
7,"Mistral was born in Vicu a, Chile, but was raised in the small Andean village of Montegrande, where she attended a primary school taught by her older sister, Emelina .",she,101,Mistral,1,TRUE,Emelina,159,FALSE
8,"The poet Pablo, Chile's second Nobel Prize recipient, met Mistral when she moved to his hometown of Temuco .",she,72,Pablo,10,TRUE,Mistral,59,FALSE
9,"Gullberg continues to pay homage to Gabriela, who he says has become the great singer of sorrow and motherhood for Latin America .",he,51,Gullberg,1,FALSE,Gabriela,37,TRUE
10,"After meeting the Marchesa in 1903, he began a lifelong turbulent on again-off again affair with Luisa, that lasted until a few years before his death .",he,16,Marchesa,19,TRUE,Luisa,98,FALSE
11,"Although D'Annunzio had a strong influence on the ideology of Benito, he never became directly involved in fascist government politics in Italy .",he,48,DAnnunzio,0,FALSE,D'Annunzio,10,TRUE
12,"Before the March on Rome, De even went so far as to depict the Fascist movement as: ""a filthy pawn in Mister's game of chess, and made out of the least dignified section of the bourgeoisie"" D'Annunzio was seriously injured when he fell out of a window on 13 August 1922; subsequently the planned ""meeting for national pacification"" with Francesco and Mussolini was cancelled .",he,9,De,27,FALSE,D'Annunzio,191,TRUE
13,"As Cole's salary increased and he was able to support the family, Godwin's mother focused on being a wife and homemaker, eventually not writing at all .",he,32,Cole,4,TRUE,Godwin,67,FALSE
14,"While in England, Godwin took a course in creative writing at the City Literature Institute, where she met her second husband, psychiatrist Ian .",she,100,Godwin,19,TRUE,Ian,141,FALSE
15,"In 2001, Godwin's partner, Robert, died and she began writing a fictional story based on their life called Evenings at Five that was published two years later .",she,45,Godwin,10,FALSE,Robert,28,TRUE
16,"Alia of the Knife, Alia is considered an Abomination by the Bene because of the unique nature of her birth, and as a result she possesses the consciousness of an adult Bene .",she,125,Alia,1,TRUE,Alia,1,FALSE
17,"The Fremen woman Harah notices that four-year-old Alia ""only pretends to be a little girl, that she has never been a little girl . """,she,97,Harah,18,TRUE,Alia,51,FALSE
18,"Jessica, despite her awareness of this likelihood, brings her baby to term, and Alia slowly learns to control the powers she has been granted as Reverend Mother and sister of the Kwisatz .",she,122,Jessica,1,TRUE,Alia,81,FALSE
19,"Alia is recreated as a ghola on the no-ship Ithaca; in an attempt to grow Alia exactly as she had been in life, the axlotl tank is flooded with a near-lethal dose of the spice melange .",she,91,Alia,1,TRUE,Alia,1,FALSE
20,"As Murbella amasses weaponry for the coming battle with the unknown enemy, she trains an elite force of commando troops with the combined battle talents of Bene, Honored, and even the Swordmasters of Ginaz .",she,76,Murbella,4,TRUE,Honored,163,FALSE
21,"As Murbella joins Duncan in his plan to rule a universe in which humanity and thinking machines co-exist, Sheeana introduces sandworms to the former thinking machine planet Synchrony, where she will found an orthodox Sisterhood .",she,191,Murbella,4,FALSE,Sheeana,107,TRUE
22,This plan is disrupted when Jessica chooses to conceive an Atreides son rather than the daughter she had been ordered to produce .,she,98,Jessica,29,TRUE,Atreides,60,FALSE
23,"Despite efforts of concealment, the Bene Gesserit can easily determine a subject's origins and root language by analyzing their speech patterns, cadence, and pacing, as Jessica does when she realizes that a visiting Spacing Guild banker is a Harkonnen agent .",she,188,Jessica,170,TRUE,Harkonnen,243,FALSE
24,"Curtis-Smith was born in Walla Walla, Washington, and received a bachelor's degree from Whitman College, where he studied with John and David .",he,69,Curtis-Smith,1,TRUE,John,128,FALSE
25,"Because of this, Lynch, moved with his parents to Sandpoint, Idaho, when he was two months old; two years later, after his brother John was born, the family moved to Spokane, Washington .",he,70,Lynch,18,TRUE,John,132,FALSE
26,"Lynch wanted to make some alterations that would alter the story from true events but in his view make a better plot, but he needed Mel's permission, as Brooks's company, Brooksfilms, was responsible for production .",he,57,Lynch,1,TRUE,Mel,133,FALSE
27,"Lynch later developed a relationship with Mary, with whom he had one son, Riley .",he,59,Lynch,1,FALSE,Mary,43,TRUE
28,"Lynch says he met Maharishi, the founder of the TM movement, for the first time in 1975 at the Spiritual Regeneration Movement center in Los Angeles, California .",he,12,Lynch,1,TRUE,Maharishi,19,FALSE
